Scenario,Model,MaxTokens,Keyword,Success,Latency_ms,Text_Length,QuestData,Error
Gemini 2.5 Flash Lite 4080,gemini-2.5-flash-lite,4080,평화,False,13795.634031295776,0,{},HTTP 500
Gemini 2.5 Flash Lite 4080,gemini-2.5-flash-lite,4080,사랑,True,8195.930480957031,472,"{'quest_title': '사랑하는 이의 흔적', 'quest_giver_npc_id': 'NPC001_Amber', 'quest_type': 'SIDE_QUEST', 'quest_summary': '사라진 연인의 흔적을 찾기 위해 숲 속 깊은 동굴로 향하는 퀘스트.', 'quest_steps': [{'step_id': 1, 'objective_type': 'TALK', 'description_for_player': '사라진 연인의 흔적에 대해 앰버와 대화하세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '이 숲이 점점 위험해지고 있어. 내 사랑하는 이가 며칠 전부터 보이지 않아. 마지막으로 본 건 숲 입구 쪽이었는데, 혹시 그쪽에서 무언가 이상한 점을 보았는지 말해줄 수 있겠나?'}], 'on_complete': []}, 'details': {'target_npc_id': 'NPC001_Amber'}}, {'step_id': 2, 'objective_type': 'KILL', 'description_for_player': '숲에서 연인을 위협할 만한 고블린들을 처치하세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '고블린들이 요즘 부쩍 난폭해졌어. 내 사랑하는 이가 그들에게 해를 입었을지도 몰라. 제발 그 녀석들을 좀 처리해 줘. 그래야 안심하고 더 깊은 곳을 수색할 수 있을 테니.'}], 'on_complete': []}, 'details': {'target_monster_id': 'MON001_goblin'}}, {'step_id': 3, 'objective_type': 'DUNGEON', 'description_for_player': '고블린들이 숨어있을 법한 동굴을 조사하세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '고블린들을 물리쳤다니 다행이군. 하지만 그 녀석들이 동굴 깊숙한 곳에 숨어있다는 소문도 있어. 혹시 내 사랑하는 이가 그 동굴 안으로 들어갔을지도 모르니, 한번 살펴봐 주겠나? 그곳에서 무언가 단서를 찾을 수 있을지도 모르네.'}], 'on_complete': []}, 'details': {'target_dungeon_id': 'DUN002_cave'}}, {'step_id': 4, 'objective_type': 'TALK', 'description_for_player': '앰버에게 조사 결과를 보고하세요.', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '동굴 조사를 마쳤습니다. (결과 보고)'}], 'on_complete': []}, 'details': {'target_npc_id': 'NPC001_Amber'}}], 'quest_rewards': []}",None
Gemini 2.5 Flash Lite 4080,gemini-2.5-flash-lite,4080,보물,True,7438.07315826416,365,"{'quest_title': '숲 속의 숨겨진 보물', 'quest_giver_npc_id': 'NPC001_Amber', 'quest_type': 'SIDE_QUEST', 'quest_summary': '사냥꾼 앰버는 다가오는 일식 때문에 숲이 위험해지고 있다고 경고하며, 고대 유적에 숨겨진 보물을 찾아달라고 플레이어에게 요청합니다.', 'quest_steps': [{'step_id': 1, 'objective_type': 'TALK', 'description_for_player': '사냥꾼 앰버와 대화하세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '이 숲이 점점 더 위험해지고 있어. 다가오는 일식 때문에 몬스터들이 난폭해지고 있거든. 고대의 배신으로 무너진 왕국에 숨겨진 보물이 있다고 들었는데, 그걸 찾아서 이 불안을 잠재울 무언가를 얻어야겠어. 혹시 그 보물을 찾을 수 있겠나?'}], 'on_complete': []}, 'details': {'target_npc_id': 'NPC001_Amber'}}, {'step_id': 2, 'objective_type': 'DUNGEON', 'description_for_player': '고대 왕국 유적(동굴)을 탐험하고 보물을 찾으세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '그 보물은 오래된 동굴 깊숙한 곳에 있다고 해. 몬스터들이 들끓을 테니 조심해야 할 거야. 동굴 안에서 보물을 찾으면 내게 가져다주게.'}], 'on_complete': []}, 'details': {'target_dungeon_id': 'DUN002_cave'}}, {'step_id': 3, 'objective_type': 'TALK', 'description_for_player': '보물을 가지고 사냥꾼 앰버에게 돌아가세요.', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '보물을 찾았다. 앰버에게 돌아가야겠다.'}], 'on_complete': []}, 'details': {'target_npc_id': 'NPC001_Amber'}}], 'quest_rewards': [{'type': 'ITEM', 'name': '금화', 'quantity': 50}, {'type': 'ITEM', 'name': '치유 물약', 'quantity': 2}]}",None
Gemini 2.5 Flash 4080,gemini-2.5-flash,4080,마법,True,34678.05552482605,394,"{'quest_title': '숲의 기이한 마법', 'quest_giver_npc_id': 'NPC001_Amber', 'quest_type': 'SIDE_QUEST', 'quest_summary': '숲에서 벌어지는 기이한 마법 현상을 조사하고, 그 원인을 찾아 해결하는 퀘스트.', 'quest_steps': [{'step_id': 1, 'objective_type': 'TALK', 'description_for_player': '벌목꾼 아우라에게 숲에서 벌어지는 이상한 일에 대해 물어보세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '요즘 숲이 심상치 않아. 짐승들이 미쳐 날뛰고, 이상한 기운이 느껴져. 벌목꾼 아우라가 동굴 근처에서 뭔가 봤다고 하는데, 너무 겁에 질려 있어. 자네가 가서 무슨 일인지 알아봐 줘.'}], 'on_complete': [{'speaker_id': 'NPC002_Aura', 'line': '흐... 흐느끼는 소리가... 동굴 쪽에서... 검은 빛이... 마법... 으으... 그... 고블린들도... 이상해졌어...'}]}, 'details': {'target_npc_id': 'NPC002_Aura'}}, {'step_id': 2, 'objective_type': 'DUNGEON', 'description_for_player': '아우라가 언급한 동굴을 조사하여 마법의 근원을 찾으세요.', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '아우라가 말한 동굴이군. 저 안에서 마법의 기운이 느껴져. 조심해야겠어.'}], 'on_complete': [{'speaker_id': 'player_character', 'line': '동굴 안의 마법 기운이 심상치 않아. 고블린들이 이 마법에 홀린 듯 날뛰는군.'}]}, 'details': {'target_dungeon_id': 'DUN002_cave'}}, {'step_id': 3, 'objective_type': 'KILL', 'description_for_player': '동굴 안의 마법에 홀린 고블린들을 처치하세요.', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '이 고블린들을 처치해야만 마법의 근원에 더 가까이 갈 수 있을 거야.'}], 'on_complete': [{'speaker_id': 'player_character', 'line': '고블린들은 처리했지만, 마법의 근원은 아직 명확하지 않아. 앰버에게 돌아가 보고해야겠어.'}]}, 'details': {'target_monster_id': 'MON001_goblin'}}, {'step_id': 4, 'objective_type': 'TALK', 'description_for_player': '앰버에게 숲과 동굴에서 벌어진 일에 대해 보고하세요.', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '앰버, 숲의 마법은 동굴에서 시작된 것 같습니다. 고블린들이 마법에 홀려 날뛰고 있었어요.'}], 'on_complete': [{'speaker_id': 'NPC001_Amber', 'line': '고블린들이 마법에 홀렸다니... 심각하군. 자네 덕분에 큰일은 막았지만, 이 마법의 근원에 대해 더 알아봐야겠어. 수고했네.'}]}, 'details': {'target_npc_id': 'NPC001_Amber'}}], 'quest_rewards': []}",None
Gemini 2.5 Flash 4080,gemini-2.5-flash,4080,마법,True,31544.78621482849,748,"{'quest_title': '숲의 어둠 마법', 'quest_giver_npc_id': 'NPC001_Amber', 'quest_type': 'SIDE_QUEST', 'quest_summary': '앰버의 요청으로 숲의 이상 현상을 조사하고, 어둠의 마법에 물든 고블린들을 처치하며 동굴 속 마법의 근원을 찾아 제거하는 퀘스트.', 'quest_steps': [{'step_id': 1, 'objective_type': 'TALK', 'description_for_player': '벌목꾼 아우라에게 숲에서 벌어진 이상한 일에 대해 물어보세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '요즘 숲이 심상치 않아. 고블린들이 예전과는 다르게 사납고, 숲 깊은 곳에서 이상한 기운이 느껴져. 어둠의 마법과 관련된 것 같기도 해. 벌목꾼 아우라가 그 근처에서 일하는 걸 봤는데, 혹시 뭔가 목격했을지도 몰라. 가서 그녀에게 무슨 일이 있었는지 물어봐 줘.'}], 'on_complete': []}, 'details': {'target_npc_id': 'NPC002_Aura'}}, {'step_id': 2, 'objective_type': 'TALK', 'description_for_player': '아우라에게 숲의 이상 현상에 대해 자세히 물어보세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC002_Aura', 'line': '무... 무슨 일이시죠...? 저... 저는 아무것도 몰라요. (두려움에 떨며)'}, {'speaker_id': 'player_character', 'line': '앰버가 당신이 숲에서 이상한 것을 봤을지도 모른다고 했소. 고블린들이 마법에 홀린 듯 날뛰고 있다고.'}, {'speaker_id': 'NPC002_Aura', 'line': '으... 응... 맞아요. 며칠 전 동굴 근처에서 벌목을 하는데, 고블린들이... 붉은 빛에 휩싸여 이상한 주문을 외고 있었어요. 제 도끼를 떨어뜨리고 도망쳐 나왔는데... 그 마법이 너무 무서웠어요. 그 이후로 고블린들이 더 사나워진 것 같아요. 그 동굴 근처에 가면 안 돼요...'}], 'on_complete': []}, 'details': {'target_npc_id': 'NPC002_Aura'}}, {'step_id': 3, 'objective_type': 'KILL', 'description_for_player': '동굴 근처에서 마법에 홀린 고블린들을 처치하세요.', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '아우라가 말한 고블린들이군. 마법의 기운이 느껴져... 놈들을 처치해야겠어.'}], 'on_complete': []}, 'details': {'target_monster_id': 'MON001_goblin'}}, {'step_id': 4, 'objective_type': 'DUNGEON', 'description_for_player': '동굴 안으로 들어가 어둠의 마법의 근원을 조사하세요.', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '고블린들은 처리했지만, 이 동굴 안에서 느껴지는 어둠의 마법은 여전해. 근원을 찾아야 해.'}], 'on_complete': []}, 'details': {'target_dungeon_id': 'DUN002_cave'}}, {'step_id': 5, 'objective_type': 'TALK', 'description_for_player': '앰버에게 동굴에서 발견한 것을 보고하세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '돌아왔군. 동굴에서 무엇을 발견했나? 어둠의 마법의 근원을 제거했나?'}], 'on_complete': []}, 'details': {'target_npc_id': 'NPC001_Amber'}}], 'quest_rewards': []}",None
Gemini 2.5 Flash 4080,gemini-2.5-flash,4080,사랑,True,31371.140241622925,478,"{'quest_title': '앰버의 잃어버린 마음', 'quest_giver_npc_id': 'NPC001_Amber', 'quest_type': 'SIDE_QUEST', 'quest_summary': '앰버는 벌목꾼 아우라가 숲에서 돌아오지 않아 깊이 걱정하고 있습니다. 숲을 수색하여 아우라를 찾아 안전하게 돌아오도록 도와주세요.', 'quest_steps': [{'step_id': 1, 'objective_type': 'TALK', 'description_for_player': '사냥꾼 앰버와 대화하여 아우라에 대한 정보를 얻으세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '자네, 잠시 이야기 좀 할 수 있겠나? 벌목꾼 아우라가 아직 숲에서 돌아오지 않았어. 평소 같으면 벌써 왔을 시간인데… 무슨 일이 생긴 건 아닌지 너무 걱정돼. 자네가 숲으로 가서 아우라를 찾아봐 줄 수 있겠나? 아마 오래된 나무 근처에서 작업하고 있을 거야.'}], 'on_complete': []}, 'details': {'target_npc_id': 'NPC001_Amber'}}, {'step_id': 2, 'objective_type': 'DUNGEON', 'description_for_player': '위험해진 숲(woods)을 수색하여 아우라를 찾으세요.', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '앰버의 걱정이 깊어 보인다. 숲이 위험해졌다고 하니 서둘러 아우라를 찾아야겠다.'}], 'on_complete': [{'speaker_id': 'NPC002_Aura', 'line': '으윽… 고블린들이 갑자기 나타나서… 도와줘요!'}]}, 'details': {'target_dungeon_id': 'DUN001_woods'}}, {'step_id': 3, 'objective_type': 'KILL', 'description_for_player': '아우라를 위협하는 고블린들을 처치하세요. (3마리)', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '고블린들이 아우라를 노리고 있다! 서둘러 처리해야 해.'}], 'on_complete': [{'speaker_id': 'NPC002_Aura', 'line': '휴… 정말 감사합니다. 당신이 아니었다면 큰일 날 뻔했어요. 최근 들어 숲이 더욱 흉흉해진 것 같아요.'}]}, 'details': {'target_monster_id': 'MON001_goblin', 'count': 3}}, {'step_id': 4, 'objective_type': 'TALK', 'description_for_player': '안전해진 아우라와 대화하세요.', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '아우라, 괜찮으신가요? 앰버가 당신을 많이 걱정하고 있습니다.'}], 'on_complete': [{'speaker_id': 'NPC002_Aura', 'line': '네, 덕분에 괜찮아요. 앰버가 저를 걱정했다니… 정말 고마운 친구예요. 이제 앰버에게 돌아가서 제가 무사하다는 걸 알려줘야겠어요. 저를 데려다줄 수 있나요?'}]}, 'details': {'target_npc_id': 'NPC002_Aura'}}, {'step_id': 5, 'objective_type': 'TALK', 'description_for_player': '앰버에게 돌아가 아우라의 소식을 전하세요.', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '아우라가 무사하다는 소식을 앰버에게 전해야겠다.'}], 'on_complete': [{'speaker_id': 'NPC001_Amber', 'line': '아우라가 무사하다고? 오, 정말 다행이야! 자네 덕분에 마음을 놓을 수 있게 되었어. 정말 고맙네, 영웅이여. 내 걱정을 덜어주어 고맙네.'}]}, 'details': {'target_npc_id': 'NPC001_Amber'}}], 'quest_rewards': []}",None
Gemini 2.5 Pro 4080,gemini-2.5-pro,4080,평화,True,75197.94583320618,415,"{'quest_title': '숲의 평화를 위하여', 'quest_giver_npc_id': 'NPC001_Amber', 'quest_type': 'SIDE_QUEST', 'quest_summary': '사냥꾼 앰버는 다가오는 이클립스로 인해 숲의 평화가 깨지고 있음을 감지했습니다. 그녀는 플레이어에게 숲 깊은 곳의 벌목꾼 아우라와 대화하여 상황을 파악하고, 공격적으로 변한 고블린들을 처치해달라고 요청합니다.', 'quest_steps': [{'step_id': 1, 'objective_type': 'TALK', 'description_for_player': '벌목꾼 아우라와 대화하여 숲의 상황에 대해 알아보기', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '요즘 숲이 이상해. 다가오는 이클립스 때문인지 흉포해진 짐승들도 늘었고... 평화가 깨지고 있어. 숲 깊은 곳에서 일하는 벌목꾼 아우라라면 뭔가 알지도 몰라. 그녀를 찾아가 봐주게.'}], 'on_complete': []}, 'details': {'target_npc_id': 'NPC002_Aura'}}, {'step_id': 2, 'objective_type': 'KILL', 'description_for_player': '숲의 평화를 위협하는 고블린 처치 (0/5)', 'dialogues': {'on_start': [{'speaker_id': 'NPC002_Aura', 'line': '아, 당신이 앰버가 보낸 분이군요... 훌쩍... 고블린 놈들이 갑자기 나타나 제 일터를 망쳐놨어요. 저 때문에 숲의 평화가 깨진 것 같아 두려워요. 제발 저놈들을 쫓아내 주세요!'}], 'on_complete': []}, 'details': {'target_monster_id': 'MON001_goblin', 'quantity': 5}}, {'step_id': 3, 'objective_type': 'TALK', 'description_for_player': '앰버에게 돌아가 퀘스트 완료 보고하기', 'dialogues': {'on_start': [{'speaker_id': 'player_character', 'line': '(고블린을 처리했다. 이제 앰버에게 돌아가자.)'}], 'on_complete': [{'speaker_id': 'NPC001_Amber', 'line': '돌아왔군. 수고했네. 덕분에 잠시나마 숲이 평화를 되찾았겠지. 하지만 이건 시작에 불과할 거야. 이클립스가 가까워질수록 더 끔찍한 일들이 벌어질지도 몰라... 이건 내 작은 성의 표시일세.'}]}, 'details': {'target_npc_id': 'NPC001_Amber'}}], 'quest_rewards': []}",None
Gemini 2.5 Pro 4080,gemini-2.5-pro,4080,마법,True,62859.071254730225,484,"{'quest_title': '숲을 병들게 하는 주술', 'quest_giver_npc_id': 'NPC001_Amber', 'quest_type': 'SIDE_QUEST', 'quest_summary': '사냥꾼 앰버는 숲에 퍼지는 사악한 마법의 기운을 걱정하고 있습니다. 그녀는 벌목꾼 아우라가 무언가 목격했다는 소문을 듣고, 플레이어에게 진상을 조사해달라고 요청합니다.', 'quest_steps': [{'step_id': 1, 'objective_type': 'TALK', 'description_for_player': '숲에 있는 벌목꾼 아우라와 대화하여 단서를 얻으세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '자네, 모험가인가? 이 숲이 점점 이상해지고 있어. 동물들은 겁에 질려 숨어버렸고, 불길한 기운이 감돌아. 곧 다가올 월식 때문인지... 아니면 다른 무언가 때문인지. 조용한 벌목꾼 아우라가 오래된 나무 근처에서 이상한 걸 봤다는군. 그녀에게 가서 무슨 일인지 알아봐 주게.'}], 'on_complete': []}, 'details': {'target_npc_id': 'NPC002_Aura'}}, {'step_id': 2, 'objective_type': 'KILL', 'description_for_player': '아우라를 위협하는 고블린들을 처치하세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC002_Aura', 'line': '네, 봤어요. 끔찍한 걸... 동굴 근처에서 고블린들이 이상한 의식을 치르고 있었어요. 보라색 빛이 번쩍이고... 알아들을 수 없는 주문을 외우더군요. 제발... 그 고블린들을 처리해주세요.'}], 'on_complete': [{'speaker_id': 'player_character', 'line': '고블린들은 처리했지만, 이 불길한 마법의 기운은 동굴 안에서 흘러나오고 있어. 근원을 찾아야 한다.'}]}, 'details': {'target_monster_id': 'MON001_goblin', 'quantity': 5}}, {'step_id': 3, 'objective_type': 'DUNGEON', 'description_for_player': '마법의 근원을 찾아 고블린 동굴을 조사하세요.', 'dialogues': {'on_start': [], 'on_complete': [{'speaker_id': 'player_character', 'line': '동굴 안의 제단을 파괴했으니 마법의 근원은 사라졌을 거다. 이제 앰버에게 돌아가자.'}]}, 'details': {'target_dungeon_id': 'DUN002_cave'}}, {'step_id': 4, 'objective_type': 'TALK', 'description_for_player': '앰버에게 돌아가 퀘스트를 완료하세요.', 'dialogues': {'on_start': [{'speaker_id': 'NPC001_Amber', 'line': '돌아왔군. 얼굴을 보니 일이 잘 해결된 모양이야. 무슨 일이었지?'}], 'on_complete': [{'speaker_id': 'NPC001_Amber', 'line': '고블린들이 그런 주술을? 월식 때문에 미쳐가고 있는 건가... 자네 덕분에 숲이 다시 안정을 찾을 수 있겠군. 이건 내 작은 보상이야. 고맙네, 모험가.'}]}, 'details': {'target_npc_id': 'NPC001_Amber'}}], 'quest_rewards': [{'reward_type': 'EXP', 'quantity': 250}, {'reward_type': 'GOLD', 'quantity': 100}]}",None
